불용일자,불용확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,물품상태,사유
2024-05-16,2024-06-11,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800001,2018-02-02,1167000,2018-02-07,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2025-09-29,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201800003,2018-08-07,3522000,2018-08-10,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,노후화(성능저하)
2023-01-11,2023-01-30,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800004,2018-08-07,3522000,2018-08-10,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2025-01-15,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201800005,2018-08-07,3522000,2018-08-10,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,노후화(성능저하)
2022-06-25,2022-07-09,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900009,2019-02-05,2314000,2019-02-08,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2025-02-10,2025-02-25,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900010,2019-02-05,2314000,2019-02-08,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2022-07-07,2022-07-23,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600011,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2021-03-22,2021-04-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600012,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2025-02-09,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600013,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2024-06-13,2024-06-29,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600014,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2021-02-20,2021-03-09,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600015,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2025-02-06,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600016,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),운용,6,폐품,고장/파손
2021-02-12,2021-02-28,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600017,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,수리비용과다
2020-02-01,2020-02-24,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600018,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
2025-04-26,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600019,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2021-05-11,2021-06-02,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600020,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2025-07-13,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600021,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2025-07-15,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600022,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2025-07-15,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600023,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),운용,6,폐품,고장/파손
2025-12-06,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600024,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),운용,6,불용품,수리비용과다
2021-02-19,2021-03-07,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600025,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),불용,6,불용품,노후화(성능저하)
2021-03-25,2021-04-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600026,2016-12-24,18112000,2017-01-10,소프트웨어융합대학RC행정팀(ERICA),불용,6,폐품,고장/파손
